23.56,50.86
79.12,63.83
78.84,65.85
8.87,76.82
34.43,40.75
46.11,51.21
30.72,65.98
58.11,60.94
7.69,9.73
18.33,36.84
13.50,67.26
44.68,31.46
23.81,38.70
1.36,68.100
75.34,93.8
38.46,44.40
73.82,49.93
55.86,30.98
27.97,84.4
35.73,86.73
91.76,87.77
82.46,84.49
6.59,41.39
21.32,93.54
88.47,73.48
40.29,15.15
44.96,25.50
86.44,30.58
68.38,17.63
39.61,44.6
66.47,73.64
12.99,79.78
41.39,28.33
51.49,86.68
69.25,97.80
20.19,94.21
38.18,79.3
98.22,94.47
42.60,14.98
64.7,25.60
12.87,27.18
99.46,83.56
36.24,86.91
54.98,31.50
28.78,70.44
42.17,78.98
57.92,94.19
8.9,98.11
84.33,78.79
17.79,13.81
37.20,96.55
51.94,72.64
19.73,35.9
55.45,26.30
4.37,18.26
15.41,53.17
85.74,45.1
97.32,45.75
26.51,16.99
9.37,68.92
18.44,11.97
47.66,32.92
54.41,46.41
29.19,16.93
6.9,23.14
94.3,9.41
59.1,96.42
49.58,66.42
24.11,85.38
49.41,12.50
41.42,28.56
8.18,57.51
17.24,15.47
88.11,92.57
59.91,87.39
7.38,32.35
42.97,62.88
46.48,25.58
83.92,86.59
49.33,43.73
100.31,20.40
79.47,23.54
56.27,85.31
65.59,30.49
64.65,80.77
42.34,50.33
61.100,43.15
23.84,71.35
7.69,67.80
74.79,12.39
29.89,47.37
8.62,97.30
4.63,56.65
1.76,17.62
84.50,65.43
35.36,72.37
31.44,27.72
44.65,6.77
86.77,99.24
48.57,10.70
19.24,29.7
25.86,89.2
27.66,17.55
14.40,71.54
96.44,70.9
4.85,55.92
44.2,84.38
49.4,75.82
43.92,63.88
41.38,19.16
6.90,9.33
67.22,36.12
47.16,16.46
64.69,76.40
35.71,91.3
63.34,28.31
74.5,61.74
49.91,21.32
53.72,13.83
58.21,21.14
92.46,80.32
26.69,44.87
26.26,42.85
5.72,23.59
92.16,11.70
88.48,92.27
85.40,78.48
12.6,27.74
98.40,36.86
95.74,36.32
43.97,87.17
70.12,66.18
42.36,67.89
46.14,8.87
51.70,66.43
19.44,37.26
78.67,54.40
28.100,44.79
81.52,12.29
100.19,57.11
56.57,86.11
69.60,14.77
96.81,59.60
65.56,3.83
85.49,10.94
35.86,51.20
38.76,60.85
61.36,45.35
25.71,40.88
92.57,76.74
